DATE,nber_recessions,real_personal_income_less_transfers,real_pce,real_gdp,real_gdi,real_avg_gdp_gdi,total_nonfarm_emp,emp_level,industrial_prod_index,real_manuf_trade_sales,log_real_personal_income_less_transfers,log_real_pce,log_real_gdp,log_real_gdi,log_real_avg_gdp_gdi,log_total_nonfarm_emp,log_emp_level,log_industrial_prod_index,log_real_manuf_trade_sales
1967Q1,0,3320.063,2715.303,4538.498,4498.858,4518.678,65455.0,73572.0,35.0,384861.0,,,,,,,,,
1967Q2,0,3337.162,2752.426,4541.28,4523.614,4532.447,65612.0,74001.0,35.0,386712.0,0.02054794615063485,0.05431662093680486,0.002451161327562485,0.021950580395850235,0.012169988257938377,0.009582889672707517,0.02325635223130108,0.0,0.019191999211557002
1967Q3,0,3374.102,2766.518,4584.246,4571.156,4577.701,66065.0,74714.0,35.0,389923.0,0.04403387862720802,0.020427140591714587,0.03766692900754917,0.04181958030537106,0.03973974712571873,0.027521999263763194,0.03835553713657151,0.0,0.033076215175384005
1967Q4,0,3400.459,2783.447,4618.812,4617.266,4618.039,66609.0,75216.0,36.0,399816.0,0.031124830656013493,0.024402391732944704,0.030047545102469046,0.04014651226891569,0.03509299630827719,0.032802390741473675,0.026785933485020823,0.1126835078667849,0.1002206301692072
1968Q1,0,3454.932,2850.153,4713.013,4685.771,4699.392,67105.0,75103.0,36.0,405296.0,0.06356941157868974,0.09473035746397433,0.08075950838482822,0.058910859544285155,0.06985193013966828,0.0296754131928824,-0.006013878287409131,0.0,0.05445289230947634
1968Q2,0,3506.04,2893.553,4791.758,4756.474,4774.116,67704.0,75950.0,37.0,408928.0,0.05873768016789096,0.06044992692436864,0.0662798097495806,0.05990467010088289,0.0631027490314565,0.035546822072142256,0.04485889732743765,0.10959589675245739,0.03568574829359308
1968Q3,0,3561.106,2947.784,4828.892,4821.033,4824.962,68313.0,76101.0,37.0,412915.0,0.06233590129975487,0.07427417139164465,0.030878732236946486,0.05392633203063351,0.04237613283386076,0.035819291387329914,0.007944705375956072,0.0,0.038810636858827456
1968Q4,0,3598.9,2961.081,4847.885,4853.675,4850.78,68984.0,76499.0,38.0,421082.0,0.04222828977151604,0.01800281095701325,0.01570194240440207,0.02699171808511718,0.0213466305939177,0.03909803374154326,0.02086505386342571,0.1066729883286451,0.07834331368845893
1969Q1,0,3630.988,2993.913,4923.76,4900.955,4912.357,69681.0,77166.0,39.0,420631.0,0.03550617734859564,0.04410729236244988,0.062119755638772825,0.03877573644557503,0.05045740238474733,0.04021236044626543,0.03472510664150932,0.10390194561304295,-0.004286497113955693
1969Q2,0,3671.621,3013.227,4938.728,4930.791,4934.759,70345.0,77605.0,39.0,423428.0,0.044513865486762776,0.025721480174898163,0.012141367567336062,0.02427734938526392,0.01819987793184112,0.03793609627034793,0.022691650364572442,0.0,0.026510092189851335
1969Q3,0,3724.9,3027.918,4971.349,4964.122,4967.736,70884.0,78153.0,39.0,427039.0,0.05762700763940078,0.019454628498165788,0.026333694739269886,0.026948090249924412,0.026641465130719594,0.030532121135687602,0.02814634297391658,0.0,0.03396742448148891
1969Q4,0,3749.671,3052.118,4947.104,4953.738,4950.421,71149.0,78575.0,39.0,430641.0,0.026512387866415004,0.03184208487690014,-0.019555507932697166,-0.008376003528461132,-0.013966318614055735,0.014926126040877622,0.021540555348017184,0.0,0.03359780969101639
1970Q1,1,3770.91,3071.056,4939.759,4920.319,4930.039,71311.0,78780.0,38.0,421314.0,0.022592995371093928,0.024742802194000536,-0.0059432411281555185,-0.02707630924627599,-0.016502898780977722,0.009097294388846744,0.010422299436514064,-0.10390194561304271,-0.08758558986107672
1970Q2,1,3769.604,3084.968,4946.77,4921.2,4933.985,71167.0,78636.0,38.0,419604.0,-0.0013855819516377442,0.018079232548313236,0.0056731750245231066,0.0007161496125565968,0.003200316796062248,-0.008085461560719001,-0.0073181907895989865,0.0,-0.01626795817910344
1970Q3,1,3801.814,3112.014,4992.357,4962.108,4977.233,70978.0,78616.0,38.0,422308.0,0.0340334603771197,0.03491528195440128,0.03669321836942343,0.03311298898415892,0.034908544633576635,-0.01063703184092422,-0.0010174751409375185,0.0,0.025693985096217883
1970Q4,1,3777.922,3103.565,4938.857,4915.506,4927.182,70574.0,78643.0,37.0,417037.0,-0.025216792910034466,-0.010874617092227852,-0.04309686009293086,-0.037743807988783164,-0.04042756775062071,-0.022832660617465497,0.0013735303042904355,-0.10667298832864518,-0.05023983503928971
1971Q1,0,3826.559,3163.139,5072.996,5013.517,5043.256,70844.0,78717.0,38.0,429718.0,0.05116737166864031,0.0760537529262198,0.1071905687449267,0.07897186547236998,0.0931387321882472,0.015273887514533763,0.0037620745020273314,0.1066729883286451,0.1198169308587233
1971Q2,0,3856.49,3192.21,5100.447,5046.287,5073.367,71179.0,78961.0,38.0,437461.0,0.031165909699215892,0.03659431167214803,0.021586451408626244,0.026060242058717802,0.023811178032143533,0.018870217995346328,0.012379669694597015,0.0,0.07143351749193202
1971Q3,0,3883.213,3217.661,5142.422,5089.04,5115.731,71434.0,79511.0,38.0,440219.0,0.027621841500936342,0.031764924756272114,0.032783967046555534,0.03374592932281433,0.033262409779236286,0.014304461543209801,0.027765268733130958,0.0,0.02513908557134118
1971Q4,0,3934.129,3271.05,5154.547,5153.41,5153.978,71866.0,80229.0,39.0,450493.0,0.05210642697036338,0.06582534479377915,0.009420252195842046,0.050277695266024144,0.029794165993153435,0.024117309627333758,0.03595867461489991,0.10390194561304295,0.09228083310793343
1972Q1,0,4001.525,3314.222,5249.337,5228.109,5238.723,72678.0,81213.0,41.0,460125.0,0.06794411192383784,0.05244748403802856,0.07289018062244186,0.05756405334029895,0.06523569060352145,0.04494180550744794,0.04876114941214746,0.20004168229864566,0.08462261224920434
1972Q2,0,4054.792,3377.314,5368.485,5295.166,5331.825,73463.0,81875.0,41.0,469850.0,0.05289541236511429,0.07543125489309833,0.08977585158822951,0.05097873629872714,0.07046325892011568,0.04297261138609119,0.032473444320067435,0.0,0.0836612125195551
